postcode,mean_ptal
BR1 2EG,8.29657
BR1 2EH,8.29657
BR1 2EJ,8.29657
BR1 2EL,4.78328
BR1 2EN,8.29657
BR1 2EP,3.18018
BR1 2EQ,8.29657
BR1 2ER,3.18018
BR1 2ES,3.18018
BR1 2ET,8.29657
BR1 2EU,8.29657
BR1 2EW,8.29657
BR1 2EX,8.29657
BR1 2EY,3.18018
BR1 2EZ,3.18018
BR1 2FA,8.30551
BR1 2FB,4.78328
BR1 2FD,4.78328
BR1 2FE,8.30551
BR1 2FF,8.30551
BR1 2FG,4.78328
BR1 2FH,4.78328
BR1 2FJ,4.78328
BR1 2FL,4.78328
BR1 2FN,4.78328
BR1 2FP,4.78328
BR1 2FQ,8.30551
BR1 2FR,8.30551
BR1 2FS,8.30551
BR1 2FT,8.30551
BR1 2FU,8.30551
BR1 2FW,8.30551
BR1 2FX,8.30551
BR1 2FY,8.30551
BR1 2GA,4.78328
BR1 2GB,7.97442
BR1 2GD,8.30551
BR1 2GE,8.30551
BR1 2GF,8.30551
BR1 2GJ,4.29695
BR1 2GL,4.78328
BR1 2GN,3.9032
BR1 2GP,7.97442
BR1 2GR,28.5572
BR1 2GY,28.5572
BR1 2GZ,4.78328
BR1 2HA,8.29657
BR1 2HB,3.18018
BR1 2HD,3.18018
BR1 2HE,7.97442
BR1 2HF,3.18018
BR1 2HG,4.78328
BR1 2HH,4.78328
BR1 2HJ,4.78328
BR1 2HL,8.30551
BR1 2HN,8.30551
BR1 2HP,8.30551
BR1 2HQ,8.29657
BR1 2HR,8.30551
BR1 2HS,8.30551
BR1 2HT,8.30551
BR1 2HU,8.30551
BR1 2HW,8.30551
BR1 2HX,8.30551
BR1 2HY,4.78328
BR1 2HZ,4.78328
BR1 2JA,8.30551
BR1 2JB,8.30551
BR1 2JD,4.78328
BR1 2JE,4.78328
BR1 2JF,4.78328
BR1 2JG,8.30551
BR1 2JH,4.78328
BR1 2JJ,7.97442
BR1 2JL,4.78328
BR1 2JN,4.78328
BR1 2JP,4.78328
BR1 2JQ,8.30551
BR1 2JR,4.78328
BR1 2JS,4.78328
BR1 2JT,3.18018
BR1 2JU,4.78328
BR1 2JW,4.78328
BR1 2JX,3.18018
BR1 2JY,3.18018
BR1 2JZ,3.18018
BR1 2LA,3.18018
BR1 2LB,4.78328
BR1 2LD,4.78328
BR1 2LE,4.78328
BR1 2LF,4.78328
BR1 2LG,4.78328
BR1 2LH,8.30551
BR1 2LJ,4.78328
BR1 2LL,4.78328
BR1 2LN,4.78328
BR1 2LP,4.78328
BR1 2LQ,4.78328
BR1 2LR,4.78328
BR1 2LS,3.18018
BR1 2LT,4.78328
BR1 2LU,4.78328
BR1 2LW,4.78328
BR1 2LX,4.78328
BR1 2LY,3.18018
BR1 2LZ,3.18018
BR1 2NA,7.97442
BR1 2NB,7.97442
BR1 2ND,7.97442
BR1 2NE,4.29695
BR1 2NF,7.97442
BR1 2NG,4.81849
BR1 2NH,4.29695
BR1 2NJ,4.29695
BR1 2NL,4.29695
BR1 2NN,4.81849
BR1 2NP,4.29695
BR1 2NQ,4.81849
BR1 2NR,4.29695
BR1 2NS,4.29695
BR1 2NT,4.29695
BR1 2NU,4.29695
BR1 2NW,4.29695
BR1 2NX,4.29695
BR1 2NY,8.30551
BR1 2NZ,4.29695
BR1 2PA,3.9032
BR1 2PB,4.29695
BR1 2PD,3.9032
BR1 2PE,3.9032
BR1 2PF,4.29695
BR1 2PG,4.81849
BR1 2PH,3.9032
BR1 2PJ,4.29695
BR1 2PL,4.29695
BR1 2PN,4.29695
BR1 2PP,4.29695
BR1 2PQ,3.9032
BR1 2PR,3.9032
BR1 2PS,3.9032
BR1 2PT,4.29695
BR1 2PU,4.81849
BR1 2PW,3.9032
BR1 2PX,3.9032
BR1 2PY,3.9032
BR1 2PZ,3.9032
BR1 2QA,3.9032
BR1 2QB,3.9032
BR1 2QD,3.9032
BR1 2QE,7.97442
BR1 2QF,7.97442
BR1 2QG,7.97442
BR1 2QH,7.97442
BR1 2QJ,7.97442
BR1 2QL,7.97442
BR1 2QN,7.97442
BR1 2QP,3.9032
BR1 2QQ,7.97442
BR1 2QR,28.5572
BR1 2QS,4.29695
BR1 2QT,8.29657
BR1 2QU,4.81849
BR1 2QW,7.97442
BR1 2QX,4.63573
BR1 2QY,7.97442
BR1 2QZ,7.97442
BR1 2RA,4.63573
BR1 2RB,4.63573
BR1 2RD,4.63573
BR1 2RE,4.63573
BR1 2RF,4.63573
BR1 2RG,4.81849
BR1 2RH,4.81849
BR1 2RJ,2.93262
BR1 2RL,2.93262
BR1 2RN,2.93262
BR1 2RP,2.93262
BR1 2RQ,4.29695
BR1 2RR,8.30551
BR1 2RS,2.93262
BR1 2RT,2.93262
BR1 2RU,2.93262
BR1 2RW,2.93262
BR1 2RX,2.93262
BR1 2RY,2.93262
BR1 2RZ,28.5572
BR1 2SA,2.93262
BR1 2SB,2.93262
BR1 2SD,7.97442
BR1 2SE,4.81849
BR1 2SF,4.81849
BR1 2SG,4.81849
BR1 2SH,7.97442
BR1 2SJ,2.93262
BR1 2SL,2.93262
BR1 2SN,2.93262
BR1 2SP,2.93262
BR1 2SQ,4.81849
BR1 2SR,7.97442
BR1 2SS,2.93262
BR1 2ST,4.81849
BR1 2SU,28.5572
BR1 2SW,2.93262
BR1 2SX,4.29695
BR1 2SY,4.29695
BR1 2SZ,4.29695
BR1 2TA,4.29695
BR1 2TB,7.97442
BR1 2TD,3.9032
BR1 2TE,3.9032
BR1 2TF,3.9032
BR1 2TG,3.9032
BR1 2TH,3.9032
BR1 2TJ,2.93262
BR1 2TL,4.78328
BR1 2TN,3.9032
BR1 2TP,8.30551
BR1 2TQ,3.9032
BR1 2TR,4.29695
BR1 2TS,3.9032
BR1 2TT,3.9032
BR1 2TU,4.78328
BR1 2TW,3.18018
BR1 2TX,7.97442
BR1 2TY,4.78328
BR1 2TZ,3.18018
BR1 2UA,3.9032
BR1 2UB,3.9032
BR1 2UD,3.9032
BR1 2UE,7.97442
BR1 2UF,3.9032
BR1 2UG,4.78328
BR1 2UH,4.81849
BR1 2UJ,3.9032
BR1 2UL,4.81849
BR1 2UN,28.5572
BR1 2UP,28.5572
BR1 2UQ,7.97442
BR1 2UR,3.9032
BR1 2US,4.78328
BR1 2UT,28.5572
BR1 2UU,28.5572
BR1 2UW,4.81849
BR1 2UX,28.5572
BR1 2UY,28.5572
BR1 2UZ,28.5572
BR1 2WA,3.9032
BR1 2WB,3.9032
BR1 2WD,4.63573
BR1 2WE,7.97442
BR1 2WF,4.29695
BR1 2WG,3.9032
BR1 2WH,3.9032
BR1 2WJ,4.78328
BR1 2WL,3.9032
BR1 2WN,28.5572
BR1 2WP,8.29657
BR1 2WQ,7.97442
BR1 2WR,3.9032
BR1 2WS,3.9032
BR1 2WT,28.5572
BR1 2WU,28.5572
BR1 2WW,28.5572
BR1 2WX,28.5572
BR1 2WY,4.29695
BR1 2WZ,4.29695
BR1 2XA,28.5572
BR1 2XB,4.78328
BR1 2XD,4.78328
BR1 2XE,4.78328
BR1 2XF,4.78328
BR1 2XG,4.78328
BR1 2XH,28.5572
BR1 2XJ,28.5572
BR1 2XL,28.5572
BR1 2XN,28.5572
BR1 2XP,28.5572
BR1 2XQ,28.5572
BR1 2XR,28.5572
BR1 2XS,28.5572
BR1 2XT,28.5572
BR1 2XU,28.5572
BR1 2XW,28.5572
BR1 2XX,28.5572
BR1 2XY,28.5572
BR1 2XZ,28.5572
BR1 2YA,28.5572
BR1 2YB,28.5572
BR1 2YD,28.5572
BR1 2YE,28.5572
BR1 2YF,28.5572
BR1 2YG,28.5572
BR1 2YH,28.5572
BR1 2YJ,28.5572
BR1 2YL,28.5572
BR1 2YN,28.5572
BR1 2YP,28.5572
BR1 2YQ,28.5572
BR1 2YR,28.5572
BR1 2YS,28.5572
BR1 2YT,28.5572
BR1 2YU,28.5572
BR1 2YW,28.5572
BR1 2YX,28.5572
BR1 2YY,28.5572
BR1 2YZ,28.5572
BR1 2ZA,28.5572
BR1 2ZB,28.5572
BR1 2ZD,28.5572
BR1 2ZE,28.5572
BR1 2ZF,28.5572
BR1 2ZG,28.5572
BR1 2ZH,28.5572
BR1 2ZJ,28.5572
BR1 2ZL,4.78328
BR1 2ZN,4.78328
BR1 2ZP,28.5572
BR1 2ZQ,7.97442
BR1 2ZR,28.5572
BR1 2ZS,28.5572
BR1 2ZT,28.5572
BR1 2ZU,28.5572
BR1 2ZW,4.78328
BR1 2ZX,28.5572
BR1 2ZY,28.5572
BR1 2ZZ,28.5572
BR1 3AA,10.3366
BR1 3AB,10.3366
BR1 3AD,10.3366
BR1 3AE,4.81849
