year,borough_outbound,area_bin,average_price,average_area,property_count
2015,15_N6,Q2,564407.14,68.43,42
2015,15_N6,Q3,832027.38,88.95,32
2015,15_N6,Q4a,1136196.97,123.57,33
2015,15_N6,Q4b,2288029.55,216.12,44
2015,15_N8,Q1,364382.1,47.15,145
2015,15_N8,Q2,482015.94,66.64,94
2015,15_N8,Q3,654391.96,90.39,56
2015,15_N8,Q4a,866554.2,126.93,89
2015,15_N8,Q4b,1400461.49,204.39,43
2015,16_HA1,Q1,254579.43,47.27,178
2015,16_HA1,Q2,318943.53,66.22,89
2015,16_HA1,Q3,440461.29,90.71,93
2015,16_HA1,Q4a,551415.16,122.13,76
2015,16_HA1,Q4b,839206.25,194.55,24
2015,16_HA2,Q1,244515.18,46.22,162
2015,16_HA2,Q2,318565.07,68.98,122
2015,16_HA2,Q3,422190.93,88.35,189
2015,16_HA2,Q4a,537065.52,119.53,103
2015,16_HA2,Q4b,629047.87,174.94,23
2015,16_HA3,Q1,233717.33,46.53,75
2015,16_HA3,Q2,322683.48,69.35,115
2015,16_HA3,Q3,414264.91,89.06,161
2015,16_HA3,Q4a,501325.61,121.15,82
2015,16_HA3,Q4b,846376.0,198.36,25
2015,16_HA4,Q1,,,0
2015,16_HA4,Q2,490000.0,75.0,1
2015,16_HA4,Q3,430000.0,78.0,1
2015,16_HA4,Q4a,,,0
2015,16_HA4,Q4b,,,0
2015,16_HA5,Q1,279491.55,49.73,71
2015,16_HA5,Q2,364703.19,67.93,94
2015,16_HA5,Q3,512747.82,89.94,105
2015,16_HA5,Q4a,666985.23,123.91,160
2015,16_HA5,Q4b,1028855.39,200.23,74
2015,16_HA7,Q1,293954.31,50.27,55
2015,16_HA7,Q2,379460.74,68.86,88
2015,16_HA7,Q3,476602.35,90.36,133
2015,16_HA7,Q4a,656319.95,123.82,104
2015,16_HA7,Q4b,1220648.5,211.77,80
2015,16_HA8,Q1,257918.92,50.65,37
2015,16_HA8,Q2,317484.57,66.77,147
2015,16_HA8,Q3,410192.06,87.61,80
2015,16_HA8,Q4a,526327.14,120.17,35
2015,16_HA8,Q4b,893678.67,193.33,9
2015,16_NW9,Q1,190000.0,33.46,1
2015,16_NW9,Q2,,,0
2015,16_NW9,Q3,,,0
2015,16_NW9,Q4a,,,0
2015,16_NW9,Q4b,,,0
2015,16_UB5,Q1,227750.0,40.84,4
2015,16_UB5,Q2,363500.0,72.6,5
2015,16_UB5,Q3,376100.0,88.2,5
2015,16_UB5,Q4a,386000.0,118.0,1
2015,16_UB5,Q4b,,,0
2015,16_WD23,Q1,,,0
2015,16_WD23,Q2,,,0
2015,16_WD23,Q3,,,0
2015,16_WD23,Q4a,,,0
2015,16_WD23,Q4b,,,0
2015,17_RM1,Q1,179132.62,47.71,93
2015,17_RM1,Q2,233035.71,67.9,56
2015,17_RM1,Q3,318767.83,89.37,95
2015,17_RM1,Q4a,416901.64,124.91,58
2015,17_RM1,Q4b,543952.38,183.3,21
2015,17_RM11,Q1,218909.94,51.88,88
2015,17_RM11,Q2,268664.91,67.48,107
2015,17_RM11,Q3,347484.51,89.92,155
2015,17_RM11,Q4a,461374.55,120.85,122
2015,17_RM11,Q4b,796714.84,209.56,63
2015,17_RM12,Q1,216544.4,47.81,84
2015,17_RM12,Q2,269920.49,69.09,131
2015,17_RM12,Q3,316793.36,88.84,192
2015,17_RM12,Q4a,387574.19,119.87,80
2015,17_RM12,Q4b,448090.91,164.27,11
2015,17_RM13,Q1,184249.79,49.0,48
2015,17_RM13,Q2,238131.48,70.62,122
2015,17_RM13,Q3,277909.47,87.72,183
2015,17_RM13,Q4a,328062.85,117.69,66
2015,17_RM13,Q4b,372000.0,153.5,2
2015,17_RM14,Q1,262630.79,53.22,19
2015,17_RM14,Q2,288827.04,68.85,81
2015,17_RM14,Q3,401210.85,89.38,135
2015,17_RM14,Q4a,537424.67,125.27,99
2015,17_RM14,Q4b,740855.71,189.41,35
2015,17_RM2,Q1,210807.02,51.96,52
2015,17_RM2,Q2,270562.5,68.3,32
2015,17_RM2,Q3,355146.0,89.15,70
2015,17_RM2,Q4a,469572.11,122.58,45
2015,17_RM2,Q4b,720685.93,189.32,43
2015,17_RM3,Q1,190807.88,48.53,118
2015,17_RM3,Q2,238916.12,68.43,191
2015,17_RM3,Q3,292948.65,88.7,382
2015,17_RM3,Q4a,406952.36,120.19,106
2015,17_RM3,Q4b,561076.92,183.21,13
2015,17_RM4,Q1,,,0
2015,17_RM4,Q2,,,0
2015,17_RM4,Q3,361250.0,86.25,4
2015,17_RM4,Q4a,,,0
2015,17_RM4,Q4b,847500.0,229.0,2
2015,17_RM5,Q1,210633.33,49.8,15
2015,17_RM5,Q2,263732.44,70.16,80
2015,17_RM5,Q3,287080.6,87.51,132
2015,17_RM5,Q4a,346002.16,119.05,44
2015,17_RM5,Q4b,497832.5,185.47,6
2015,17_RM7,Q1,178218.54,47.34,147
2015,17_RM7,Q2,234005.94,67.04,205
2015,17_RM7,Q3,290568.8,88.54,138
2015,17_RM7,Q4a,349700.0,116.92,35
2015,17_RM7,Q4b,434500.0,173.23,8
2015,18_HA4,Q1,286431.15,50.21,139
2015,18_HA4,Q2,364601.12,67.36,263
2015,18_HA4,Q3,465762.93,89.87,232
2015,18_HA4,Q4a,578952.5,120.17,158
2015,18_HA4,Q4b,811242.31,187.75,39
2015,18_HA5,Q1,299209.06,51.18,33
2015,18_HA5,Q2,390269.41,68.69,74
2015,18_HA5,Q3,519221.12,90.32,40
2015,18_HA5,Q4a,616387.36,121.51,36
2015,18_HA5,Q4b,930800.0,207.22,10
